【超清】,#genre#
CCTV6电影,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?&encrypt=
CCTV7国防军事,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/51/index.m3u8?&encrypt=
CCTV8电视剧,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?&encrypt=
CCTV9纪录,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv9hd/51/index.m3u8?&encrypt=
CCTV10科教,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?&encrypt=
CCTV11戏曲,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv11hd/51/20200103/index.m3u8?&encrypt=
CCTV12社会与法,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv12hd/51/index.m3u8?&encrypt=
CCTV13新闻,http://103.254.188.179/live.gq.miguvideo.com:8080/envivo_x/2018/SD/cctv13/2000/index.m3u8?&encrypt=
CCTV14少儿,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?&encrypt=
CCTV15音乐,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv15hd/51/index.m3u8?&encrypt=
CCTV17农村农业,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv17hd/51/index.m3u8?&encrypt=
CETV1中教1台,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/cctv/cetv1hd/1500/index.m3u8?&encrypt=
CCTV发现之旅,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/cnr/faxianzhilv/2000/index.m3u8?&encrypt=
北京卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/ws_w/2018/bjws/bjws2000/2000/index.m3u8?&encrypt=
北京卫视冬奥纪实,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/btv/btv6/2000/index.m3u8?&encrypt=
东方卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r4/dfl/dongfangwshd/1200/index.m3u8?&encrypt=
上视新闻综合,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r4/dfl/xinwenzonghehd/1200/index.m3u8?&encrypt=
上视东方影视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r4/dfl/dianshijuhd/1200/index.m3u8?&encrypt=
上视东方都市,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r4/dfl/yulehd/1200/index.m3u8?&encrypt=
上视纪实人文,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/jspdhd/2000/index.m3u8?&encrypt=
上视五星体育,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r4/dfl/wuxingtiyuhd/1200/index.m3u8?&encrypt=
上视全纪实,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/ocn/quanjishihd/1200/index.m3u8?&encrypt=
江苏卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/jiangsuhd/1200/index.m3u8?&encrypt=
浙江卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/zhejianghd/1200/index.m3u8?&encrypt=
天津卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd-tianjinhd-1200/index.m3u8?&encrypt=
黑龙江卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd-heilongjianghd-1200/index.m3u8?&encrypt=
山东卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd-shandonghd-1200/index.m3u8?&encrypt=
辽宁卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/liaoningwshd/2000/index.m3u8?&encrypt=
广东卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/ws_w/2018/gdws/gdws2000/2000/index.m3u8?&encrypt=
安徽卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/anhuiwshd/2000/index.m3u8?&encrypt=
湖南卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd-hunanhd-1200/index.m3u8?&encrypt=
湖北卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/hubeiwshd/2000/index.m3u8?&encrypt=
江西卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/jxwshd/51/20190820/index.m3u8?&encrypt=
甘肃临洮电视台,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/linyaodst/51/20191206/index.m3u8?&encrypt=
陕西宁强1台,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200702/SD/nqdst01/51/index.m3u8?&encrypt=
陕西宁强2台,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200702/SD/nqdst02/51/index.m3u8?&encrypt=
陕西略阳1台,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200702/SD/lydst/51/index.m3u8?&encrypt=
陕西镇巴综合,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200702/SD/zjdst/51/index.m3u8?&encrypt=
青海果洛电视台,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r1/cnr/guoluotv/2000/index.m3u8?&encrypt=
甘肃陇西电视台,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/longxidst/51/20191206/index.m3u8?&encrypt=
四川威远综合,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r1/cnr/wyzh/2000/index.m3u8?&encrypt=
山东德州新闻综合,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r1/cnr/dzxwzh/2000/index.m3u8?&encrypt=
山东德州公共,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r1/cnr/dzgg/2000/index.m3u8?&encrypt=
山东德州图文,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r1/cnr/dztw/2000/index.m3u8?&encrypt=
湖南卫视金鹰纪实,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/jinyingjishi/1200/index.m3u8?&encrypt=
秦昊作品集,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5101074616/150/index.m3u8?&encrypt=
试胆大会,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5101098146/150/index.m3u8?&encrypt=
咪咕24小时体育台,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/tysy201903/75/index.m3u8?&encrypt=
SNH48剧场公演,http://103.254.188.179/live.gq.miguvideo.com:8080/wd-virtuallive5100002043-150/index.m3u8?&encrypt=
艺术空间,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/gunbo/5102439680/51/20190827/index.m3u8?&encrypt=
益智学堂,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/gunbo/5102440005/51/20190827/index.m3u8?&encrypt=
探索自然,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/gunbo/5102439963/51/20190827/index.m3u8?&encrypt=
英语启蒙,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/gunbo/5102440001/51/20190827/index.m3u8?&encrypt=
萌宠大作战,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5102010213/150/index.m3u8?&encrypt=
古龙作品集,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5102010216/150/index.m3u8?&encrypt=
CIBN风尚运动,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cibnfsyd/51/20191029/index.m3u8?&encrypt=
CIBN斗牛财经,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cibndncj/51/20191029/index.m3u8?&encrypt=
新片放映厅,http://103.254.188.179/live.gq.miguvideo.com:8080/wd-virtuallive5100030975-150/index.m3u8?&encrypt=
四海钓鱼,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?&encrypt=
军旅剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5100180303/150/index.m3u8?&encrypt=
少林剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100179213/150/index.m3u8?&encrypt=
喜剧联盟,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5101097468/150/index.m3u8?&encrypt=
情感剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100179837/150/index.m3u8?&encrypt=
精英剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5102354627/150/index.m3u8?&encrypt=
僵尸剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5100192783/150/index.m3u8?&encrypt=
深夜失眠剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5100181674/150/index.m3u8?&encrypt=
红色谍战剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5101079524/150/index.m3u8?&encrypt=
华视浪漫影院,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100172368/150/index.m3u8?&encrypt=
每日科幻电影,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100172731/150/index.m3u8?&encrypt=
怀旧老片,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100074916/150/index.m3u8?&encrypt=
追剧少女,http://103.254.188.179/live.gq.miguvideo.com:8080/wd-virtuallive5100002089-150/index.m3u8?&encrypt=
武侠剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r1/virtuallive/5101000755/150/index.m3u8?&encrypt=
精品网剧,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r1/virtuallive/5101000751/150/index.m3u8?&encrypt=
假期剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r1/virtuallive/5101000747/150/index.m3u8?&encrypt=
国际剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100179386/150/index.m3u8?&encrypt=
黄金剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100172024/150/index.m3u8?&encrypt=
经典频道,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100179383/150/index.m3u8?&encrypt=
高分影院,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r1/virtuallive/5101000708/150/index.m3u8?&encrypt=
华视火爆劲片,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100168805/150/index.m3u8?&encrypt=
云上直播间,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100170828/150/index.m3u8?&encrypt=
成龙作品集,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5102010211/150/index.m3u8?&encrypt=
刘德华影院,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5102354855/150/index.m3u8?&encrypt=
古天乐影院,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r1/virtuallive/5101000744/150/index.m3u8?&encrypt=
周星驰影院,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100144102/150/index.m3u8?&encrypt=
吴京作品集,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5100180867/150/index.m3u8?&encrypt=
经典贺岁片,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5100181836/150/index.m3u8?&encrypt=
郭富城影院,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5102010220/150/index.m3u8?&encrypt=
古力娜扎影视展播,http://103.254.188.179/live.gq.miguvideo.com:8080/wd-virtuallive5100002172-150/index.m3u8?&encrypt=
刘亦菲影视展播,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5102010221/150/index.m3u8?&encrypt=
葛优作品集,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5102354660/150/index.m3u8?&encrypt=
金庸频道,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5100181876/150/index.m3u8?&encrypt=
刘涛作品集,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100178547/150/index.m3u8?&encrypt=
张国荣影院,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5102354727/150/index.m3u8?&encrypt=
神探狄仁杰,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100179816/150/index.m3u8?&encrypt=
红楼剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100178536/150/index.m3u8?&encrypt=
爱情公寓,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5100180868/150/index.m3u8?&encrypt=
开心麻花剧场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100179054/150/index.m3u8?&encrypt=
云上电影院,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/5100180869/150/index.m3u8?&encrypt=
盗墓方法论,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100179159/150/index.m3u8?&encrypt=
综艺现场,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100074920/150/index.m3u8?&encrypt=
游戏风云,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/ocn/youxifengyunhd/1200/index.m3u8?&encrypt=
抗战老片,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/virtuallive/5100179384/150/index.m3u8?&encrypt=
直播钱塘江,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/cnr/qiantangjiang/2000/index.m3u8?&encrypt=
直播北极阁,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/cnr/beijige/2000/index.m3u8?&encrypt=
直播嵊泗,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/cnr/shengsi/2000/index.m3u8?&encrypt=

【普清央视】,#genre#
CCTV1综合,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv1/350/index.m3u8?&encrypt=
CCTV1综合,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv1/600/index.m3u8?&encrypt=
CCTV1综合,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv1hd/350/index.m3u8?&encrypt=
CCTV1综合,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv1hd/600/index.m3u8?&encrypt=
CCTV2财经,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv2hd/600/index.m3u8?&encrypt=
CCTV2财经,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv2/350/index.m3u8?&encrypt=
CCTV2财经,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv2/600/index.m3u8?&encrypt=
CCTV2财经,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv2hd/350/index.m3u8?&encrypt=
CCTV3综艺,http://103.254.188.179/live.gq.miguvideo.com:8080/ws_w/2018/cctv3/350/index.m3u8?&encrypt=
CCTV3综艺,http://103.254.188.179/live.gq.miguvideo.com:8080/ws_w/2018/cctv3/1000/index.m3u8?&encrypt=
CCTV3综艺,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018ocn/cctv3hd/350/index.m3u8?&encrypt=
CCTV3综艺,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?&encrypt=
CCTV4中文国际,http://103.254.188.179/live.gq.miguvideo.com:8080/envivo_x/2018/SD/cctv4/350/index.m3u8?&encrypt=
CCTV4中文国际,http://103.254.188.179/live.gq.miguvideo.com:8080/envivo_x/2018/SD/cctv4/1000/index.m3u8?&encrypt=
CCTV4中文国际,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv4hd/350/index.m3u8?&encrypt=
CCTV4中文国际,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv4hd/600/index.m3u8?&encrypt=
CCTV4中文国际-欧洲,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv4ouhd/50/index.m3u8?&encrypt=
CCTV4中文国际-美洲,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv4meihd/50/index.m3u8?&encrypt=
CCTV5体育,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5new/350/index.m3u8?&encrypt=
CCTV5体育,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5new/600/index.m3u8?&encrypt=
CCTV5体育,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/350/index.m3u8?&encrypt=
CCTV5体育,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/600/index.m3u8?&encrypt=
CCTV5+体育赛事,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/350/index.m3u8?&encrypt=
CCTV5+体育赛事,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/350/index.m3u8?&encrypt=
CCTV5+体育赛事,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/600/index.m3u8?&encrypt=
CCTV5+体育赛事,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/600/index.m3u8?&encrypt=
CCTV6电影,http://103.254.188.179/live.gq.miguvideo.com:8080/ws_w/2018/cctv6/350/index.m3u8?&encrypt=
CCTV6电影,http://103.254.188.179/live.gq.miguvideo.com:8080/ws_w/2018/cctv6/1000/index.m3u8?&encrypt=
CCTV6电影,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/350/index.m3u8?&encrypt=
CCTV6电影,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/1000/index.m3u8?&encrypt=
CCTV7国防军事,http://103.254.188.179/live.gq.miguvideo.com:8080/envivo_x/2018/SD/cctv7/350/index.m3u8?&encrypt=
CCTV7国防军事,http://103.254.188.179/live.gq.miguvideo.com:8080/envivo_x/2018/SD/cctv7/1000/index.m3u8?&encrypt=
CCTV7国防军事,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/50/index.m3u8?&encrypt=
CCTV8电视剧,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv8/350/index.m3u8?&encrypt=
CCTV8电视剧,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/350/index.m3u8?&encrypt=
CCTV8电视剧,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/1000/index.m3u8?&encrypt=
CCTV8电视剧,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv8/600/index.m3u8?&encrypt=
CCTV9纪录,http://103.254.188.179/live.gq.miguvideo.com:8080/ws_w/2018/cctv9/350/index.m3u8?&encrypt=
CCTV9纪录,http://103.254.188.179/live.gq.miguvideo.com:8080/ws_w/2018/cctv9/1000/index.m3u8?&encrypt=
CCTV9纪录,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv9hd/50/index.m3u8?&encrypt=
CCTV10科教,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv10hd/1000/index.m3u8?&encrypt=
CCTV10科教,http://103.254.188.179/live.gq.miguvideo.com:8080/envivo_x/2018/SD/cctv10/350/index.m3u8?&encrypt=
CCTV10科教,http://103.254.188.179/live.gq.miguvideo.com:8080/envivo_x/2018/SD/cctv10/1000/index.m3u8?&encrypt=
CCTV11戏曲,http://103.254.188.179/live.gq.miguvideo.com:8080/envivo_x/2018/SD/cctv11/350/index.m3u8?&encrypt=
CCTV11戏曲,http://103.254.188.179/live.gq.miguvideo.com:8080/envivo_x/2018/SD/cctv11/1000/index.m3u8?&encrypt=
CCTV11戏曲,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv11hd/50/20200103/index.m3u8?&encrypt=
